Date,Adj Close,Log Price,Log Return
6/10/1960,57.970001,4.059925653,-0.000224686
6/13/1960,57.990002,4.060270616,0.000344964
6/14/1960,57.91,4.058890081,-0.001380535
6/15/1960,57.57,4.053001599,-0.005888483
6/16/1960,57.5,4.051784948,-0.001216651
6/17/1960,57.439999,4.050740907,-0.00104404
6/20/1960,57.16,4.045854353,-0.004886554
6/21/1960,57.110001,4.04497925,-0.000875103
6/22/1960,57.279999,4.047951505,0.002972255
6/23/1960,57.59,4.053348942,0.005397436
6/24/1960,57.68,4.054910493,0.001561551
6/27/1960,57.330002,4.048824082,-0.006086411
6/28/1960,56.939999,4.041998064,-0.006826018
6/29/1960,56.939999,4.041998064,0
6/30/1960,56.919998,4.041646738,-0.000351326
7/1/1960,57.060001,4.044103363,0.002456625
7/5/1960,57.02,4.043402083,-0.00070128
7/6/1960,56.939999,4.041998064,-0.001404019
7/7/1960,57.240002,4.04725299,0.005254925
7/8/1960,57.380001,4.049695828,0.002442838
7/11/1960,56.869999,4.040767944,-0.008927884
7/12/1960,56.25,4.029806041,-0.010961903
7/13/1960,56.099998,4.027135777,-0.002670264
7/14/1960,56.119999,4.027492237,0.000356461
7/15/1960,56.049999,4.026244132,-0.001248106
7/18/1960,55.700001,4.019980165,-0.006263967
7/19/1960,55.700001,4.019980165,0
7/20/1960,55.610001,4.018363059,-0.001617106
7/21/1960,55.099998,4.00914968,-0.009213379
7/22/1960,54.720001,4.002229292,-0.006920388
7/25/1960,54.18,3.992311837,-0.009917455
7/26/1960,54.509998,3.998384134,0.006072298
7/27/1960,54.169998,3.992127213,-0.006256922
7/28/1960,54.57,3.999484281,0.007357068
7/29/1960,55.509998,4.016563149,0.017078867
8/1/1960,55.529999,4.016923397,0.000360249
8/2/1960,55.040001,4.008060212,-0.008863185
8/3/1960,54.720001,4.002229292,-0.00583092
8/4/1960,54.889999,4.005331164,0.003101873
8/5/1960,55.439999,4.015301337,0.009970173
8/8/1960,55.52,4.016743316,0.001441979
8/9/1960,55.84,4.022490458,0.005747142
8/10/1960,56.07,4.02660091,0.004110452
8/11/1960,56.279999,4.030339214,0.003738304
8/12/1960,56.66,4.037068494,0.00672928
8/15/1960,56.610001,4.036185666,-0.000882829
8/16/1960,56.720001,4.0381269,0.001941234
8/17/1960,56.84,4.040240303,0.002113403
8/18/1960,56.810001,4.039712384,-0.000527919
8/19/1960,57.009998,4.043226656,0.003514272
8/22/1960,57.189999,4.04637904,0.003152384
8/23/1960,57.75,4.056123349,0.009744309
8/24/1960,58.07,4.061649179,0.00552583
8/25/1960,57.790001,4.056815768,-0.004833412
8/26/1960,57.599998,4.053522533,-0.003293235
8/29/1960,57.439999,4.050740907,-0.002781626
8/30/1960,56.84,4.040240303,-0.010500604
8/31/1960,56.959999,4.04234925,0.002108946
9/1/1960,57.09,4.04462897,0.00227972
9/2/1960,57,4.043051268,-0.001577702
9/6/1960,56.490002,4.034063667,-0.008987601
9/7/1960,55.790001,4.02159466,-0.012469007
9/8/1960,55.740002,4.020698058,-0.000896602
9/9/1960,56.110001,4.027314068,0.00661601
9/12/1960,55.720001,4.020339167,-0.006974901
9/13/1960,55.830002,4.022311395,0.001972228
9/14/1960,55.439999,4.015301337,-0.007010058
9/15/1960,55.220001,4.011325225,-0.003976112
9/16/1960,55.110001,4.009331206,-0.001994019
9/19/1960,53.860001,3.986388106,-0.0229431
9/20/1960,54.009998,3.989169178,0.002781072
9/21/1960,54.57,3.999484281,0.010315104
9/22/1960,54.360001,3.995628608,-0.003855674
9/23/1960,53.900002,3.987130515,-0.008498093
9/26/1960,53.060001,3.971423368,-0.015707147
9/27/1960,52.939999,3.969159178,-0.00226419
9/28/1960,52.48,3.960432145,-0.008727033
9/29/1960,52.619999,3.963096257,0.002664112
9/30/1960,53.52,3.980055416,0.016959159
10/3/1960,53.360001,3.97706142,-0.002993995
10/4/1960,52.990002,3.970103254,-0.006958166
10/5/1960,53.389999,3.977623444,0.00752019
10/6/1960,53.720001,3.98378539,0.006161946
10/7/1960,54.029999,3.989539429,0.005754039
10/10/1960,54.139999,3.991573266,0.002033836
10/11/1960,54.220001,3.993049863,0.001476597
10/12/1960,54.150002,3.99175801,-0.001291852
10/13/1960,54.57,3.999484281,0.007726271
10/14/1960,54.860001,4.004784504,0.005300223
10/17/1960,54.630001,4.000583201,-0.004201303
10/18/1960,54.349998,3.995444577,-0.005138624
10/19/1960,54.25,3.993602992,-0.001841584
10/20/1960,53.860001,3.986388106,-0.007214886
10/21/1960,53.720001,3.98378539,-0.002602716
10/24/1960,52.700001,3.964615475,-0.019169916
10/25/1960,52.200001,3.955082514,-0.00953296
10/26/1960,53.049999,3.971234846,0.016152332
10/27/1960,53.619999,3.981922114,0.010687268
10/28/1960,53.41,3.977997994,-0.00392412
10/31/1960,53.389999,3.977623444,-0.000374551
11/1/1960,53.939999,3.987872299,0.010248855
11/2/1960,54.220001,3.993049863,0.005177563
11/3/1960,54.43,3.996915472,0.00386561
11/4/1960,54.900002,4.005513385,0.008597912
11/7/1960,55.110001,4.009331206,0.003817821
11/9/1960,55.349998,4.013676623,0.004345417
11/10/1960,56.43,4.033000932,0.019324309
11/11/1960,55.869999,4.023027546,-0.009973386
11/14/1960,55.59,4.018003329,-0.005024217
11/15/1960,55.810001,4.021953083,0.003949754
11/16/1960,55.700001,4.019980165,-0.001972918
11/17/1960,55.549999,4.017283498,-0.002696667
11/18/1960,55.82,4.022132228,0.00484873
11/21/1960,55.93,4.024100909,0.001968681
11/22/1960,55.720001,4.020339167,-0.003761742
11/23/1960,55.799999,4.021773851,0.001434685
11/25/1960,56.130001,4.027670447,0.005896595
11/28/1960,56.029999,4.025887244,-0.001783203
11/29/1960,55.830002,4.022311395,-0.003575849
11/30/1960,55.540001,4.0171035,-0.005207895
12/1/1960,55.299999,4.01277289,-0.004330609
12/2/1960,55.389999,4.014399054,0.001626164
12/5/1960,55.310001,4.012953742,-0.001445312
12/6/1960,55.470001,4.015842352,0.00288861
12/7/1960,56.02,4.02570877,0.009866418
12/8/1960,56.150002,4.028026717,0.002317947
12/9/1960,56.650002,4.036892023,0.008865306
12/12/1960,56.849998,4.040416185,0.003524162
12/13/1960,56.880001,4.040943803,0.000527618
12/14/1960,56.84,4.040240303,-0.0007035
12/15/1960,56.68,4.037421415,-0.002818888
12/16/1960,57.200001,4.046553916,0.009132501
12/19/1960,57.130001,4.04532939,-0.001224526
12/20/1960,57.09,4.04462897,-0.00070042
12/21/1960,57.549999,4.052654118,0.008025148
12/22/1960,57.389999,4.049870055,-0.002784063
12/23/1960,57.439999,4.050740907,0.000870853
12/27/1960,57.52,4.052132713,0.001391806
12/28/1960,57.779999,4.056642678,0.004509964
12/29/1960,58.049999,4.061304691,0.004662013
12/30/1960,58.110001,4.062337783,0.001033092
1/3/1961,57.57,4.053001599,-0.009336185
1/4/1961,58.360001,4.066630741,0.013629142
1/5/1961,58.57,4.07022262,0.003591879
1/6/1961,58.400002,4.067315924,-0.002906696
1/9/1961,58.810001,4.074311925,0.006996001
1/10/1961,58.970001,4.077028857,0.002716931
1/11/1961,59.139999,4.079907498,0.002878641
1/12/1961,59.32,4.082946517,0.00303902
1/13/1961,59.599998,4.087655541,0.004709023
1/16/1961,59.580002,4.087319981,-0.00033556
1/17/1961,59.639999,4.088326473,0.001006492
1/18/1961,59.68,4.088996956,0.000670483
1/19/1961,59.77,4.090503863,0.001506907
1/20/1961,59.959999,4.093677657,0.003173794
1/23/1961,60.290001,4.099166269,0.005488613
1/24/1961,60.450001,4.101816594,0.002650325
1/25/1961,60.529999,4.103139093,0.0013225
1/26/1961,60.619999,4.104624855,0.001485762
1/27/1961,61.240002,4.114800603,0.010175748
1/30/1961,61.970001,4.126650413,0.01184981
1/31/1961,61.779999,4.123579671,-0.003070742
2/1/1961,61.900002,4.125520212,0.001940541
2/2/1961,62.299999,4.13196141,0.006441198
2/3/1961,62.220001,4.130676508,-0.001284902
2/6/1961,61.759998,4.123255873,-0.007420634
2/7/1961,61.650002,4.121473262,-0.001782611
2/8/1961,62.209999,4.130515742,0.00904248
2/9/1961,62.02,4.127456914,-0.003058829
2/10/1961,61.5,4.119037175,-0.008419739
2/13/1961,61.139999,4.1131663,-0.005870875
2/14/1961,61.41,4.117572688,0.004406388
2/15/1961,61.919998,4.125843197,0.008270509
2/16/1961,62.299999,4.13196141,0.006118213
2/17/1961,62.099998,4.128745957,-0.003215453
2/20/1961,62.32,4.132282402,0.003536445
2/21/1961,62.360001,4.13292406,0.000641659
2/23/1961,62.59,4.136605521,0.003681461
2/24/1961,62.84,4.140591813,0.003986292
2/27/1961,63.299999,4.147885313,0.0072935
2/28/1961,63.439999,4.150094562,0.002209248
3/1/1961,63.43,4.149936936,-0.000157626
3/2/1961,63.849998,4.156536551,0.006599616
3/3/1961,63.950001,4.158101544,0.001564993
3/6/1961,64.050003,4.159664075,0.001562532
3/7/1961,63.470001,4.150567369,-0.009096706
3/8/1961,63.439999,4.150094562,-0.000472808
3/9/1961,63.5,4.151039906,0.000945344
3/10/1961,63.48,4.150724896,-0.00031501
3/13/1961,63.66,4.153556422,0.002831526
3/14/1961,63.380001,4.14914837,-0.004408052
3/15/1961,63.57,4.152141661,0.002993291
3/16/1961,64.209999,4.162158946,0.010017285
3/17/1961,64,4.158883083,-0.003275863
3/20/1961,64.860001,4.172231116,0.013348033
3/21/1961,64.739998,4.170379218,-0.001851899
3/22/1961,64.699997,4.169761155,-0.000618062
3/23/1961,64.529999,4.167130216,-0.002630939
3/24/1961,64.419998,4.165424113,-0.001706104
3/27/1961,64.349998,4.164336903,-0.00108721
3/28/1961,64.379997,4.164802979,0.000466076
3/29/1961,64.93,4.173309767,0.008506787
3/30/1961,65.059998,4.17530989,0.002000124
4/3/1961,65.599998,4.183575665,0.008265775
4/4/1961,65.660004,4.184489973,0.000914308
4/5/1961,65.459999,4.181439254,-0.003050719
4/6/1961,65.610001,4.183728139,0.002288885
4/7/1961,65.959999,4.189048483,0.005320344
4/10/1961,66.529999,4.197652959,0.008604476
4/11/1961,66.620003,4.199004878,0.001351919
4/12/1961,66.309998,4.194340685,-0.004664193
4/13/1961,66.260002,4.193586427,-0.000754258
4/14/1961,66.370003,4.195245192,0.001658765
4/17/1961,68.68,4.229458036,0.034212844
4/18/1961,66.199997,4.192680418,-0.036777618
4/19/1961,65.809998,4.186771772,-0.005908646
4/20/1961,65.82,4.186923744,0.000151971
4/21/1961,65.769997,4.186163762,-0.000759982
4/24/1961,64.400002,4.165113664,-0.021050098
4/25/1961,65.300003,4.178992082,0.013878418
4/26/1961,65.550003,4.182813256,0.003821174
4/27/1961,65.459999,4.181439254,-0.001374002
4/28/1961,65.309998,4.179145133,-0.002294121
5/1/1961,65.169998,4.17699921,-0.002145924
5/2/1961,65.639999,4.184185251,0.007186041
5/3/1961,66.18,4.192378302,0.008193052
5/4/1961,66.440002,4.196299315,0.003921012
5/5/1961,66.519997,4.197502609,0.001203294
5/8/1961,66.410004,4.195847708,-0.001654901
5/9/1961,66.470001,4.196750733,0.000903025
5/10/1961,66.410004,4.195847708,-0.000903025
5/11/1961,66.389999,4.195546428,-0.00030128
