0,9964.062
1,15972.317
2,7363.840999999999
3,30004.963
4,11774.101999999999
5,5475.108
6,12362.695
7,3417.2940000000003
8,5476.148
9,4645.975
10,8053.266999999999
11,7580.875999999999
12,10819.107
13,5477.675
14,6880.87
15,8328.185
16,5595.3369999999995
17,6394.829000000001
18,8816.283000000001
19,12191.523000000001
20,6843.2
21,6662.487
22,6641.215
23,5766.518000000001
24,4823.834
25,9210.853
26,13459.337
27,12373.921999999999
28,16244.143999999998
29,10382.881
30,8935.651
31,7876.807
32,6795.6900000000005
33,5741.291
34,7117.943000000001
35,6790.609
36,8814.931999999999
37,8696.762999999999
38,13039.242
39,13258.41
40,9767.639
41,11225.582
42,12719.605
43,10181.124
44,17588.001999999997
45,11874.919
46,7552.6990000000005
47,7979.566000000001
48,6669.478
49,4883.459000000001
50,6366.706999999999
51,12007.013
52,21402.06
53,11636.426000000001
